# Export aus VertriebsSystem v4.2 - 03.01.2026
Auftragsdatum,Region,Produktgruppe,Produkt,Umsatz,Marge
2025-01-01,Ost,Technik,Dockingstation,1796.80,0.25
2025-01-01,Süd,Bürobedarf,Ordner,433.85,0.31
2025-01-01,West,Möbel,Rollcontainer,3326.95,0.24
2025-01-01,Süd,Zubehör,Monitorarm,968.91,0.41
2025-01-02,Ost,Bürobedarf,Druckerpapier,436.96,0.36
2025-01-02,Nord,Bürobedarf,Druckerpapier,286.66,0.33
2025-01-02,Süd,Technik,Dockingstation,808.70,0.28
2025-01-02,Süd,verbrauchsmaterial,Klebeband,551.82,0.40
2025-01-03,Süd,Möbel,Bürostuhl,1749.10,0.30
2025-01-03,Süd,Zubehör,Kabelkanal,444.64,0.36
2025-01-03,West,Verbrauchsmaterial,Etiketten,688.02,0.26
2025-01-04,West,Möbel,Regal,2400.52,0.27
2025-01-04,Nord,Verbrauchsmaterial,Klebeband,253.50,0.29
2025-01-04,Süd ,Technik,Headset,2479.66,0.31
2025-01-04,West,Verbrauchsmaterial,Druckerpatrone,470.94,0.40
2025-01-04,Süd,Zubehör,USB-Hub,539.05,0.31
2025-01-04,Ost,zubehör,Handballenauflage,423.60,0.37
2025-01-04,West,Zubehör,Monitorarm,588.40,0.30
2025-01-04,West ,Zubehör,Monitorarm,220.51,0.23
2025-01-05,Süd,Technik,Headset,2281.34,0.32
2025-01-05,Ost,Technik,Monitor,1747.72,0.29
2025-01-05,Ost,Verbrauchsmaterial,Druckerpatrone,193.19,0.34
2025-01-05,Ost ,Verbrauchsmaterial,Klebeband,602.65,0.37
2025-01-05,Nord,Technik,Headset,1335.32,0.33
2025-01-05,Süd,Bürobedarf,Ordner,335.27,0.35
2025-01-05,Ost,Technik,Headset,2005.90,0.36
2025-01-05,Süd,Technik,Monitor,1087.44,0.35
2025-01-06,Nord,Bürobedarf,Notizbuch,304.34,0.38
2025-01-06,Ost,Bürobedarf,Stiftebox,150.37,0.38
2025-01-06,Ost,Zubehör,Kabelkanal,718.35,0.36
2025-01-06,Ost,Technik,Dockingstation,645.53,0.33
2025-01-06,Ost,Zubehör,Kabelkanal,637.27,0.31
2025-01-06,Ost,Bürobedarf,Ordner,780.89,0.40
2025-01-06,Nord,Zubehör,USB-Hub,408.10,0.33
2025-01-06,Ost,Bürobedarf,Stiftebox,752.06,0.36
2025-01-06,Süd,Möbel,Schreibtisch,2331.78,0.32
2025-01-06,Ost,Möbel,Regal,506.63,0.28
2025-01-06,Ost,Technik,Dockingstation,2395.96,0.25
2025-01-07,West,Zubehör,Kabelkanal,279.10,0.29
2025-01-07,West,verbrauchsmaterial,Klebeband,274.07,0.30
2025-01-07,Ost,Bürobedarf,Notizbuch,118.75,0.44
2025-01-07,Nord,Verbrauchsmaterial,Druckerpatrone,144.16,0.41
2025-01-07,Süd,Bürobedarf,Druckerpapier,372.82,0.39
2025-01-07,West,Zubehör,Kabelkanal,774.71,0.37
2025-01-07,Nord,Verbrauchsmaterial,Toner,157.46,0.39
2025-01-07,West,Möbel,Schreibtisch,1271.54,0.38
2025-01-07,Nord,Verbrauchsmaterial,Toner,201.66,0.40
2025-01-08,Süd,Bürobedarf,Ordner,544.49,0.30
2025-01-08,Ost,Verbrauchsmaterial,Druckerpatrone,276.65,0.36
2025-01-08,Ost,Technik,Tastatur,2105.42,0.30
2025-01-08,Nord,Verbrauchsmaterial,Etiketten,241.84,0.35
2025-01-08,Nord,Technik,Dockingstation,2637.11,0.27
2025-01-09,Nord,Zubehör,USB-Hub,122.23,0.35
2025-01-09,Nord,Zubehör,USB-Hub,1182.75,0.36
2025-01-09,Süd,Möbel,Schreibtisch,849.95,0.33
2025-01-09,Süd,Zubehör,Handballenauflage,1393.55,0.44
2025-01-09,Ost,Zubehör,Monitorarm,1062.18,0.33
2025-01-09,Süd,Technik,Monitor,446.76,0.30
2025-01-09,Nord,Zubehör,USB-Hub,452.09,0.33
2025-01-09,West ,zubehör,Monitorarm,179.12,0.31
2025-01-10,Süd,Möbel,Bürostuhl,839.41,0.33
2025-01-10,Nord,Zubehör,Kabelkanal,988.67,0.36
2025-01-10,West ,Verbrauchsmaterial,Toner,308.46,0.45
2025-01-10,Ost,Bürobedarf,Stiftebox,1121.29,0.39
2025-01-11,West ,Verbrauchsmaterial,Etiketten,570.79,0.37
2025-01-11,West,Verbrauchsmaterial,Etiketten,780.63,0.36
2025-01-11,Süd,Zubehör,USB-Hub,673.39,0.28
2025-01-11,West,Bürobedarf,Notizbuch,416.98,0.27
2025-01-11,Süd,Möbel,Bürostuhl,1373.12,0.28
2025-01-12,Nord,Bürobedarf,Ordner,730.28,0.41
2025-01-12,Süd,Bürobedarf,Druckerpapier,544.18,0.37
2025-01-12,West,Möbel,Regal,3278.37,0.27
2025-01-12,Süd ,Bürobedarf,Stiftebox,518.04,0.34
2025-01-12,West,Verbrauchsmaterial,Etiketten,188.12,0.33
2025-01-12,Ost,Technik,Headset,2598.38,0.34
2025-01-13,Süd ,Zubehör,USB-Hub,443.59,0.32
2025-01-13,Ost,Möbel,Bürostuhl,1239.06,0.22
2025-01-13,Ost,Verbrauchsmaterial,Druckerpatrone,677.80,0.33
2025-01-13,Süd,Bürobedarf,Ordner,322.98,0.39
2025-01-13,Ost,Möbel,Regal,1816.35,0.39
2025-01-13,Ost ,Technik,Dockingstation,912.74,0.27
2025-01-13,Ost,Verbrauchsmaterial,Etiketten,198.49,0.36
2025-01-13,Nord,Bürobedarf,Ordner,572.18,0.35
2025-01-14,Ost,verbrauchsmaterial,Klebeband,221.65,0.35
2025-01-14,Nord,Möbel,Rollcontainer,1703.93,0.31
2025-01-14,West,Technik,Monitor,1053.54,0.27
2025-01-14,Süd,Verbrauchsmaterial,Klebeband,387.31,0.37
2025-01-14,West,Bürobedarf,Ordner,347.59,0.37
2025-01-14,West,Verbrauchsmaterial,Etiketten,861.75,0.36
2025-01-14,Süd,Möbel,Regal,2471.51,0.31
2025-01-14,Süd,Zubehör,Monitorarm,701.85,0.29
2025-01-14,Süd,technik,Monitor,1219.00,0.36
2025-01-14,Ost,Bürobedarf,Stiftebox,498.08,0.34
2025-01-15,Nord,Verbrauchsmaterial,Etiketten,333.20,0.38
2025-01-15,Süd,Bürobedarf,Notizbuch,860.68,0.35
2025-01-15,West,Bürobedarf,Ordner,711.29,0.41
2025-01-15,Süd,Verbrauchsmaterial,Klebeband,806.43,0.45
2025-01-16,West,Bürobedarf,Druckerpapier,384.72,0.37
2025-01-16,Süd,Technik,Dockingstation,1451.97,0.28
2025-01-16,Ost,Bürobedarf,Stiftebox,165.04,0.37
2025-01-16,Nord,Möbel,Rollcontainer,1114.60,0.30
2025-01-16,Nord ,Bürobedarf,Druckerpapier,203.51,0.39
2025-01-16,Ost,Zubehör,USB-Hub,403.17,0.39
2025-01-16,Ost,Verbrauchsmaterial,Klebeband,530.68,0.36
2025-01-17,West,möbel,Bürostuhl,2627.24,0.28
2025-01-17,Süd,Verbrauchsmaterial,Klebeband,248.52,0.30
2025-01-17,Ost,Verbrauchsmaterial,Druckerpatrone,217.45,0.39
2025-01-17,Ost,Verbrauchsmaterial,Etiketten,353.77,0.46
2025-01-17,West,Zubehör,Handballenauflage,787.05,0.31
2025-01-17,Ost,Technik,Dockingstation,1516.93,0.27
2025-01-17,Süd,Bürobedarf,Ordner,334.21,0.45
2025-01-17,Süd,Technik,Tastatur,826.95,0.30
2025-01-18,Ost ,zubehör,Kabelkanal,293.82,0.38
2025-01-18,West,Technik,Tastatur,3559.02,0.32
2025-01-18,Nord,Möbel,Schreibtisch,1971.05,0.28
2025-01-18,West ,verbrauchsmaterial,Toner,638.11,0.41
2025-01-18,Ost,Möbel,Bürostuhl,1981.59,0.33
2025-01-18,Süd,Technik,Tastatur,726.40,0.43
2025-01-18,Ost,Verbrauchsmaterial,Klebeband,305.51,0.37
2025-01-18,Nord,Bürobedarf,Ordner,280.35,0.37
2025-01-19,Nord,Zubehör,Handballenauflage,480.98,0.27
2025-01-19,Ost,Zubehör,USB-Hub,383.32,0.33
2025-01-19,Nord,Verbrauchsmaterial,Druckerpatrone,416.75,0.36
2025-01-19,Ost,Bürobedarf,Ordner,301.69,0.44
2025-01-19,Süd,Bürobedarf,Notizbuch,162.37,0.37
2025-01-20,West,Bürobedarf,Stiftebox,150.16,0.35
2025-01-20,Ost ,Möbel,Schreibtisch,3839.28,0.31
2025-01-20,West,Bürobedarf,Notizbuch,198.41,0.37
2025-01-21,Süd,Bürobedarf,Ordner,418.98,0.40
2025-01-21,Nord,Bürobedarf,Notizbuch,358.09,0.32
2025-01-21,Süd,Bürobedarf,Notizbuch,484.98,0.33
2025-01-21,Süd,Verbrauchsmaterial,Etiketten,489.41,0.39
2025-01-21,Süd,Verbrauchsmaterial,Druckerpatrone,355.24,0.43
2025-01-21,Ost ,Bürobedarf,Notizbuch,178.85,0.33
2025-01-21,West,Zubehör,Monitorarm,670.38,0.20
2025-01-21,West,Verbrauchsmaterial,Druckerpatrone,410.38,0.44
2025-01-21,Süd ,Verbrauchsmaterial,Druckerpatrone,188.48,0.32
2025-01-22,Süd,Technik,Headset,517.47,0.25
2025-01-22,Ost,Verbrauchsmaterial,Druckerpatrone,368.73,0.36
2025-01-22,Ost,Zubehör,Kabelkanal,762.34,0.35
2025-01-22,West,Verbrauchsmaterial,Druckerpatrone,384.72,0.24
2025-01-22,Ost,Technik,Monitor,2872.56,0.25
2025-01-22,Ost,Möbel,Regal,693.79,0.35
2025-01-22,Nord,Bürobedarf,Ordner,275.97,0.41
2025-01-22,Süd,Technik,Tastatur,1107.20,0.36
2025-01-22,Nord,Verbrauchsmaterial,Klebeband,249.79,0.41
2025-01-23,Nord,Möbel,Rollcontainer,1426.41,0.34
2025-01-23,Nord,Bürobedarf,Notizbuch,336.06,0.30
2025-01-23,West,Bürobedarf,Ordner,770.03,0.38
2025-01-23,Süd,Bürobedarf,Ordner,507.90,0.41
2025-01-23,Süd,Technik,Monitor,862.89,0.29
2025-01-23,Süd,Möbel,Regal,1712.63,0.38
2025-01-23,Ost,Zubehör,Handballenauflage,851.82,0.36
2025-01-23,Ost,Verbrauchsmaterial,Toner,445.77,0.29
